patent_number,title,abstract,assignee,year,domain
US10318091B2,Autonomous tractor steering controller,A GPS-guided steering system adjusts tractor path alignment in row-crop environments based on real-time soil moisture and spatial maps.,John Deere,2019,Agriculture
US10607555B2,Smart crop irrigation scheduling gateway,An edge gateway gathers localized soil sensor readings and weather forecasts to control electric water valves for precision irrigation.,Trimble,2020,Agriculture
US11341416B2,Neural network system for image classification,A neural network system implemented in a hardware accelerator performs parallel processing for image classification tasks using activation maps.,Google LLC,2022,Artificial Intelligence
US10846543B1,Transformer-based language model training,An attention-based transformer network is trained on massive datasets to predict text sequences using multi-head self-attention mechanisms.,OpenAI,2020,Artificial Intelligence
US10998877B2,CRISPR gene editing target selection interface,A software framework matches guide RNA sequences to genomic targets to optimize editing efficiency while reducing off-target mutations.,Broad Institute,2021,Biotechnology
US11451566B2,DNA sequencing parallel processor chip,A semiconductor chip architecture performs high-throughput base calling from optical sensor readings in a DNA sequencing device.,Illumina,2022,Biotechnology
US11451566B2,Zero trust access control inside virtual networks,A security gateway implements zero-trust verification and micro-segmentation architectures to prevent lateral movement inside enterprise networks.,Palo Alto Networks,2022,Cybersecurity
US11223344B1,Automated network threat isolation system,A machine learning endpoint monitors system calls and automatically isolates compromised network segments when malicious behavior is flagged.,CrowdStrike,2022,Cybersecurity
US11235876B2,Adaptive virtual learning path dashboard,A machine learning engine analyzes user test performance and recommends customized training video modules dynamically.,Coursera,2022,Education Technology
US10607555B2,Collaborative virtual classroom synchronization,A web server coordinates visual whiteboard state and audio-video streams across multi-participant virtual learning sessions.,Zoom,2020,Education Technology
US11199887B2,Distributed ledger transaction confirmation gate,A cryptographic transaction gateway signs and verifies blockchain state updates for high-speed financial clearance.,Goldman Sachs,2021,FinTech
US10900123B2,Fraud detection model for mobile payments,A real-time classifier evaluates transaction metadata and geographic locations to flag credit card transactions for fraud risk.,PayPal,2021,FinTech
US11090478B2,Wearable vital signs telemetry sensor device,"A wearable device gathers real-time ECG and blood oxygen data, communicating telemetry alerts to a cloud clinical monitoring database.",Philips,2021,Healthcare
US10500123B2,Infusion pump dose error reduction system,An automated infusion pump uses sensor feedback and pre-configured dosage libraries to reduce medical delivery errors.,Medtronic,2020,Healthcare
US11223344B1,Low power wireless sensor node system,A wireless sensor node sleep-wake cycle scheduler optimizes battery lifespan by entering deep sleep states between periodic data transmissions.,Cisco Systems,2022,Internet of Things (IoT)
US10500123B2,Mesh network routing protocol for smart sensors,A self-healing mesh routing protocol routes sensor data packets through dynamically selected gateway nodes in a local area network.,Intel,2020,Internet of Things (IoT)
US10234857B2,Solar inverter grid sync regulator,A power electronics controller synchronizes solar array photovoltaic output with the alternating current grid frequency.,Siemens,2019,Renewable Energy
US11874639B1,Wind turbine rotor pitch control,A feedback controller dynamically adjusts wind turbine blade pitch angles to maximize power extraction while reducing aerodynamic loads.,Vestas,2024,Renewable Energy
US11874639B1,Multi-jointed robotic arm path planning controller,A robotic controller computes collision-free trajectories for multi-jointed robotic arms using inverse kinematics and spatial sensors.,Fanuc,2024,Robotics
US10900123B2,LiDAR-guided warehouse delivery robot,"An autonomous mobile robot navigates fulfillment centers using LiDAR sensors, distance encoders, and visual marker detection.",Amazon,2021,Robotics
US10234857B2,Autonomous traffic management system,A centralized cloud server coordinates traffic signal timing cycles based on real-time speed telemetry from autonomous vehicles.,Tesla,2019,Smart Cities
US10434685B2,Smart parking space occupancy detector,An ultrasonic sensor module detects parking space occupancy and updates a metropolitan parking availability map database.,Bosch,2019,Smart Cities
US10434685B2,Biodegradable polymer packaging composite,A bioplastic material formulation combines polylactic acid and plant starch to create fully compostable packaging films.,BASF,2019,Sustainability
US10500123B2,Water recycling filtration system controller,A control circuit monitors membrane pressure and water turbidity to trigger reverse osmosis wash cycles in recycling plants.,Veolia,2020,Sustainability
